행번호,지원구분,참전 국명,참전 연인원,참전 형태,피해 계,전사,부상,실종,포로
"1","전투지원(16)","미    국","1789000.0","육해공군","133996.0","33686.0","92134.0","3737.0","4439.0"
"2","전투지원(16)","영    국","56000.0","육해군","4909.0","1078.0","2674.0","179.0","978.0"
"3","전투지원(16)","캐 나 다","26791.0","육해공군","1761.0","516.0","1212.0","1.0","32.0"
"4","전투지원(16)","터    키","21212.0","육군","2365.0","966.0","1155.0","-","244.0"
"5","전투지원(16)","호    주","17164.0","육해공군","1584.0","340.0","1216.0","-","28.0"
"6","전투지원(16)","필 리 핀","7420.0","육군","468.0","112.0","299.0","16.0","41.0"
"7","전투지원(16)","태    국","6326.0","육해공군","1273.0","129.0","1139.0","5.0",""
"8","전투지원(16)","네덜란드","5322.0","육해군","768.0","120.0","645.0","","3.0"
"9","전투지원(16)","콜롬비아","5100.0","육해군","689.0","213.0","448.0","","28.0"
"10","전투지원(16)","그 리 스","4992.0","육공군","738.0","192.0","543.0","","3.0"
"11","전투지원(16)","뉴질랜드","3794.0","육해군","103.0","23.0","79.0","1.0",""
"12","전투지원(16)","에티오피아","3518.0","육군","658.0","122.0","536.0","",""
"13","전투지원(16)","벨 기 에","3498.0","육군","440.0","99.0","336.0","4.0","1.0"
"14","전투지원(16)","프 랑 스","3421","육해군","1289.0","262.0","1008.0","7.0","12.0"
"15","전투지원(16)","남아공화국","826","공군","44.0","36.0","","","8.0"
"16","전투지원(16)","룩셈부르크","100","육군","15.0","2.0","13.0","",""
"17","의료지원(5)","인    도","627","야전병원","26.0","3.0","23.0","",""
"18","의료지원(5)","노르웨이","623","이동외과병원","3.0","3.0","","",""
"19","의료지원(5)","덴 마 크","630","병원선","","","","",""
"20","의료지원(5)","스 웨 덴","1124","적십자병원","","","","",""
"21","의료지원(5)","이탈리아","128","적십자병원","","","","",""
